od	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0																																																																																																
0.02																																																																																																
0.04																																																																																																
0.06																																																																																																
0.08																																																																																																
0.1																																																																																																
0.12																																																																																																
0.14																																																																																																
0.16																																																																																																
0.18																																																																																																
0.2																																																																																																
0.22																																																																																																
0.24																																																																																																
0.26																																																																																																
0.28																																																																																																
0.3																																																																																																
0.32																																																																																																
0.34																																																																																																
0.36																																																																																																
0.38																																																																																																
0.4																																																																																																
0.42															-2.469199706944454								-0.8033874518476287		-1.0497421872974764							-1.7479576937566155		-1.1054417581438607								-2.0855663222944294																					-4.107967568316012													-15.009477027815482	-1.9651248159506087																			
0.44		-3.0388645935484746				-1.2278080104027445		-1.875175780053159						-2.792661453891688	-2.2212929518987536		-2.3449981300953375						-0.7623222658840898		-1.2974862283837816		-2.837685273623399								-0.8966155957220143							-2.5987887880035085										-3.1194214671849205		-3.0136041063702055				-1.5763749423125266					-2.651911566955814										-2.0764221336692033			-15.407681645354787	-1.8404247307326957																			
0.46		-2.671235437334061				-1.548588306677594		-1.7668466199659418						-2.152432305772703	-2.1777860710221177	-2.715271489833293	-2.2884448868810368	-1.4291712916758463		-3.137673732000796			-0.7011353174169067		-1.2556774332382337										-1.062396273121909							-2.1599636923884526										-2.53903218591268						-1.4924714724357249																			-1.9663192822971745																			
0.48																																																																																																
0.5																																																																																																
0.52																																																																																																
0.54																																																																																																
0.56																																																																																																
0.58																																																																																																
0.6																																																																																																
0.62																																																																																																
0.64																																																																																																
0.66																																																																																																
0.68																																																																																																
0.7000000000000001																																																																																																
0.72																																																																																																
0.74																																																																																																
0.76																																																																																																
0.78																																																																																																
0.8																																																																																																
0.8200000000000001																																																																																																
0.84																																																																																																
0.86																																																																																																
0.88																																																																																																
0.9																																																																																																
0.92																																																																																																
0.9400000000000001																																																																																																
0.96																																																																																																
0.98																																																																																																
1.0																																																																																																
